"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0600000US5000925975","Ferdinand town, Essex County, Vermont","41","32","41","32","0","10",
"0600000US5000929125","Granby town, Essex County, Vermont","41","14","37","14","4","5",
"0600000US5000930775","Guildhall town, Essex County, Vermont","158","50","148","51","10","8",
"0600000US5000939700","Lemington town, Essex County, Vermont","54","23","51","22","3","4",
"0600000US5000939775","Lewis town, Essex County, Vermont","0","10","0","10","0","10",
"0600000US5000941425","Lunenburg town, Essex County, Vermont","582","83","481","77","101","39",
"0600000US5000942475","Maidstone town, Essex County, Vermont","122","33","119","33","3","3",
"0600000US5000952750","Norton town, Essex County, Vermont","56","17","56","17","0","10",
"0600000US5000975175","Victory town, Essex County, Vermont","35","17","25","15","10","11",
"0600000US5000976337","Warner's grant, Essex County, Vermont","0","10","0","10","0","10",
"0600000US5000976562","Warren's gore, Essex County, Vermont","0","10","0","10","0","10",
"0600000US5001102500","Bakersfield town, Franklin County, Vermont","448","72","421","69","27","21",
"0600000US5001105425","Berkshire town, Franklin County, Vermont","651","94","503","82","148","55",
"0600000US5001124050","Enosburgh town, Franklin County, Vermont","1167","106","884","92","283","95",
"0600000US5001124925","Fairfax town, Franklin County, Vermont","1845","154","1582","163","263","148",
"0600000US5001125225","Fairfield town, Franklin County, Vermont","733","96","649","92","84","34",
"0600000US5001126500","Fletcher town, Franklin County, Vermont","484","89","465","90","19","14",
"0600000US5001127100","Franklin town, Franklin County, Vermont","617","125","461","81","156","89",
"0600000US5001127700","Georgia town, Franklin County, Vermont","1821","164","1758","161","63","38",
"0600000US5001133025","Highgate town, Franklin County, Vermont","1470","189","1187","252","283","156",
"0600000US5001145850","Montgomery town, Franklin County, Vermont","576","161","465","104","111","121",
"0600000US5001159125","Richford town, Franklin County, Vermont","981","138","691","121","290","90",
"0600000US5001161675","St. Albans city, Franklin County, Vermont","3113","184","1526","203","1587","201",
"0600000US5001161750","St. Albans town, Franklin County, Vermont","2534","251","2010","291","524","194",
"0600000US5001164600","Sheldon town, Franklin County, Vermont","913","206","813","203","100","47",
"0600000US5001171725","Swanton town, Franklin County, Vermont","2610","170","2034","182","576","168",
"0600000US5001300860","Alburgh town, Grand Isle County, Vermont","786","101","730","100","56","27",
"0600000US5001329275","Grand Isle town, Grand Isle County, Vermont","925","102","799","92","126","51",
"0600000US5001335875","Isle La Motte town, Grand Isle County, Vermont","254","53","235","52","19","16",
"0600000US5001350650","North Hero town, Grand Isle County, Vermont","518","76","499","73","19","12",
"0600000US5001367000","South Hero town, Grand Isle County, Vermont","657","81","559","63","98","50",
"0600000US5001504375","Belvidere town, Lamoille County, Vermont","194","50","167","45","27","20",
"0600000US5001511500","Cambridge town, Lamoille County, Vermont","1578","141","1109","151","469","122",
"0600000US5001523500","Eden town, Lamoille County, Vermont","571","78","442","67","129","61",
"0600000US5001523725","Elmore town, Lamoille County, Vermont","400","81","371","79","29","22",
"0600000US5001535050","Hyde Park town, Lamoille County, Vermont","1271","133","1072","134","199","85",
"0600000US5001537075","Johnson town, Lamoille County, Vermont","1431","142","836","129","595","125",
"0600000US5001546675","Morristown town, Lamoille County, Vermont","3031","179","1969","202","1062","252",
"0600000US5001570525","Stowe town, Lamoille County, Vermont","2426","207","1908","204","518","144",
"0600000US5001577425","Waterville town, Lamoille County, Vermont","333","69","266","65","67","38",
"0600000US5001585375","Wolcott town, Lamoille County, Vermont","688","91","547","80","141","55",
"0600000US5001707375","Bradford town, Orange County, Vermont","1029","121","896","144","133","90",
"0600000US5001707600","Braintree town, Orange County, Vermont","511","73","414","61","97","43",
"0600000US5001709325","Brookfield town, Orange County, Vermont","636","96","559","94","77","38",
"0600000US5001713525","Chelsea town, Orange County, Vermont","527","77","428","71","99","39",
"0600000US5001715700","Corinth town, Orange County, Vermont","638","95","566","88","72","55",
"0600000US5001725675","Fairlee town, Orange County, Vermont","507","107","410","94","97","39",
"0600000US5001748175","Newbury town, Orange County, Vermont","987","134","797","131","190","50",
"0600000US5001753425","Orange town, Orange County, Vermont","401","68","352","66","49","22",
"0600000US5001758075","Randolph town, Orange County, Vermont","2062","169","1386","188","676","123",
"0600000US5001770675","Strafford town, Orange County, Vermont","578","98","514","94","64","35",
"0600000US5001772400","Thetford town, Orange County, Vermont","1355","129","1140","153","215","92",
"0600000US5001773075","Topsham town, Orange County, Vermont","434","67","392","64","42","29",
"0600000US5001773675","Tunbridge town, Orange County, Vermont","525","78","442","66","83","54",
